DOC1 1,1:0.0668277 2,2:0.0534454 3,3:0.066428 4,4:0.0922613 5,5:0.128546 6,6:0.0711049 7,7:0.0800296 8,8:0.0541885 9,9:0.0774433 10,10:0.0753867 11,11:0.0583963 12,12:0.0555881 13,13:0.125985 14,14:0.112784 15,15:0.139221 16,16:0.0971628
DOC12 1,1:0.0867366 2,2:0.0767818 3,3:0.0412138 4,4:0.0441806 5,5:0.104453 6,6:0.0810266 7,7:0.066541 8,8:0.0450776 9,9:0.0678599 10,10:0.083243 11,11:0.147537 12,12:0.0872738 13,13:0.0410633 14,14:0.068885 15,15:0.104313 16,16:0.136722
DOC13 1,1:0.0741196 2,2:0.0586145 3,3:0.0701802 4,4:0.0786127 5,5:0.156029 6,6:0.1253 7,7:0.0678291 8,8:0.0577169 9,9:0.071346 10,10:0.0873852 11,11:0.0936636 12,12:0.0729201 13,13:0.0698542 14,14:0.0693485 15,15:0.0943847 16,16:0.129949
DOC14 1,1:0.0614496 2,2:0.0973302 3,3:0.0457344 4,4:0.0518559 5,5:0.0823671 6,6:0.0588791 7,7:0.0991099 8,8:0.051007 9,9:0.0374244 10,10:0.0578373 11,11:0.0881076 12,12:0.0763132 13,13:0.137865 14,14:0.0522233 15,15:0.0633819 16,16:0.0593209
DOC15 1,1:0.0919735 2,2:0.0566294 3,3:0.0629207 4,4:0.0676174 5,5:0.0761135 6,6:0.0745457 7,7:0.119608 8,8:0.0897714 9,9:0.110673 10,10:0.111535 11,11:0.106316 12,12:0.0597533 13,13:0.1165 14,14:0.095194 15,15:0.0418052 16,16:0.0344366
DOC16 1,1:0.0587948 2,2:0.104883 3,3:0.0901562 4,4:0.056899 5,5:0.0688142 6,6:0.064383 7,7:0.0779417 8,8:0.0476401 9,9:0.0565073 10,10:0.0323703 11,11:0.108931 12,12:0.0661358 13,13:0.123828 14,14:0.0647783 15,15:0.036815 16,16:0.0839305
DOC17 1,1:0.0688608 2,2:0.120395 3,3:0.13393 4,4:0.0855207 5,5:0.0460267 6,6:0.0764759 7,7:0.109187 8,8:0.134323 9,9:0.131618 10,10:0.0529428 11,11:0.0591477 12,12:0.104707 13,13:0.0280942 14,14:0.166734 15,15:0.0650597 16,16:0.0966158
DOC18 1,1:0.0604735 2,2:0.0656298 3,3:0.0784636 4,4:0.0875709 5,5:0.0590323 6,6:0.0740966 7,7:0.0516649 8,8:0.0765175 9,9:0.100679 10,10:0.0533882 11,11:0.0592796 12,12:0.132046 13,13:0.0598583 14,14:0.0761987 15,15:0.0605658 16,16:0.0932476
DOC19 1,1:0.0653265 2,2:0.0774346 3,3:0.123746 4,4:0.0391381 5,5:0.0734669 6,6:0.130784 7,7:0.0636701 8,8:0.0800884 9,9:0.093628 10,10:0.0972392 11,11:0.0675519 12,12:0.0705272 13,13:0.155069 14,14:0.0829232 15,15:0.0490338 16,16:0.0447101
DOC20 1,1:0.114113 2,2:0.0961483 3,3:0.0543492 4,4:0.0978748 5,5:0.0768285 6,6:0.0675807 7,7:0.0416005 8,8:0.0531031 9,9:0.072723 10,10:0.0505568 11,11:0.065804 12,12:0.0726559 13,13:0.0752235 14,14:0.0732933 15,15:0.107403 16,16:0.0416464
DOC21 1,1:0.0835043 2,2:0.0640128 3,3:0.0733166 4,4:0.0608894 5,5:0.0919461 6,6:0.0611477 7,7:0.0830259 8,8:0.0856112 9,9:0.0643274 10,10:0.0749805 11,11:0.102762 12,12:0.085622 13,13:0.095349 14,14:0.0559209 15,15:0.0922919 16,16:0.0896645
DOC22 1,1:0.0633288 2,2:0.0440857 3,3:0.0566807 4,4:0.0803712 5,5:0.0554146 6,6:0.077994 7,7:0.128148 8,8:0.0713629 9,9:0.0865933 10,10:0.040662 11,11:0.0347693 12,12:0.0594563 13,13:0.0357048 14,14:0.124461 15,15:0.0749658 16,16:0.0515292
DOC23 1,1:0.0635696 2,2:0.0707464 3,3:0.0619864 4,4:0.149577 5,5:0.0736054 6,6:0.0876715 7,7:0.072308 8,8:0.0948623 9,9:0.082301 10,10:0.138971 11,11:0.081277 12,12:0.114341 13,13:0.121463 14,14:0.0754232 15,15:0.0565296 16,16:0.0839699
DOC24 1,1:0.133433 2,2:0.082743 3,3:0.0677439 4,4:0.100499 5,5:0.0406365 6,6:0.0584831 7,7:0.0756457 8,8:0.106571 9,9:0.0750826 10,10:0.047128 11,11:0.0595591 12,12:0.0674034 13,13:0.10838 14,14:0.0545165 15,15:0.058222 16,16:0.0868816
DOC25 1,1:0.157716 2,2:0.0610784 3,3:0.0523963 4,4:0.0472493 5,5:0.0792908 6,6:0.127246 7,7:0.158539 8,8:0.0664998 9,9:0.0440552 10,10:0.0742401 11,11:0.0484039 12,12:0.0783936 13,13:0.0414339 14,14:0.0814058 15,15:0.123411 16,16:0.104609
DOC26 1,1:0.15218 2,2:0.0844136 3,3:0.0964679 4,4:0.0449454 5,5:0.0735153 6,6:0.0530505 7,7:0.089093 8,8:0.0358615 9,9:0.0677978 10,10:0.0711826 11,11:0.0912465 12,12:0.0597525 13,13:0.0570658 14,14:0.0999477 15,15:0.152438 16,16:0.110583
DOC27 1,1:0.11357 2,2:0.0516997 3,3:0.0564626 4,4:0.0715238 5,5:0.119642 6,6:0.15547 7,7:0.0569028 8,8:0.0824013 9,9:0.0506864 10,10:0.049549 11,11:0.0850431 12,12:0.0566939 13,13:0.0455821 14,14:0.0522735 15,15:0.0840346 16,16:0.0844564
DOC28 1,1:0.109019 2,2:0.0514802 3,3:0.0710078 4,4:0.0826605 5,5:0.0802794 6,6:0.0801278 7,7:0.189369 8,8:0.0562672 9,9:0.090493 10,10:0.0831423 11,11:0.0543953 12,12:0.0430901 13,13:0.0996644 14,14:0.128502 15,15:0.10032 16,16:0.0764166
DOC29 1,1:0.0677258 2,2:0.0764975 3,3:0.0363146 4,4:0.087857 5,5:0.0431006 6,6:0.109567 7,7:0.0482967 8,8:0.112143 9,9:0.0700104 10,10:0.123364 11,11:0.0700783 12,12:0.0933801 13,13:0.0829527 14,14:0.0420283 15,15:0.0401361 16,16:0.0605331
DOC30 1,1:0.0609749 2,2:0.0521307 3,3:0.0954578 4,4:0.0929818 5,5:0.0642427 6,6:0.062896 7,7:0.100118 8,8:0.0579786 9,9:0.0715506 10,10:0.068429 11,11:0.153198 12,12:0.078552 13,13:0.0604944 14,14:0.0793745 15,15:0.123832 16,16:0.0907712
DOC31 1,1:0.137661 2,2:0.0395196 3,3:0.0894789 4,4:0.0233387 5,5:0.129009 6,6:0.0770913 7,7:0.0766821 8,8:0.0648793 9,9:0.145149 10,10:0.108756 11,11:0.149378 12,12:0.0727082 13,13:0.0563954 14,14:0.0779626 15,15:0.0388313 16,16:0.0869464
DOC32 1,1:0.082953 2,2:0.067271 3,3:0.0918558 4,4:0.0957302 5,5:0.0742175 6,6:0.0466351 7,7:0.0602545 8,8:0.100565 9,9:0.0483689 10,10:0.0534105 11,11:0.0436559 12,12:0.0850633 13,13:0.052805 14,14:0.105553 15,15:0.0997162 16,16:0.0828247
DOC33 1,1:0.0691839 2,2:0.084871 3,3:0.0903231 4,4:0.061023 5,5:0.112261 6,6:0.0935122 7,7:0.0952873 8,8:0.0397773 9,9:0.107838 10,10:0.0511043 11,11:0.103136 12,12:0.0779475 13,13:0.102523 14,14:0.0469975 15,15:0.0755673 16,16:0.0826758
DOC34 1,1:0.0198056 2,2:0.0917776 3,3:0.074998 4,4:0.0602872 5,5:0.0888242 6,6:0.072892 7,7:0.0662536 8,8:0.0526829 9,9:0.0465787 10,10:0.0393362 11,11:0.121224 12,12:0.0772379 13,13:0.0693383 14,14:0.0997247 15,15:0.0924028 16,16:0.0777419
DOC35 1,1:0.088788 2,2:0.125203 3,3:0.0596148 4,4:0.0366413 5,5:0.102561 6,6:0.0959874 7,7:0.0984964 8,8:0.0760776 9,9:0.0301554 10,10:0.0938789 11,11:0.0946748 12,12:0.041616 13,13:0.0912021 14,14:0.0294283 15,15:0.0491788 16,16:0.0793496
DOC36 1,1:0.0827251 2,2:0.0465462 3,3:0.0279405 4,4:0.0697674 5,5:0.072885 6,6:0.0406554 7,7:0.0865305 8,8:0.102212 9,9:0.05448 10,10:0.0469853 11,11:0.0414765 12,12:0.0724736 13,13:0.0475657 14,14:0.058792 15,15:0.0514554 16,16:0.1195
DOC37 1,1:0.0770846 2,2:0.115376 3,3:0.0470245 4,4:0.0716275 5,5:0.0860695 6,6:0.0591114 7,7:0.0713189 8,8:0.0681453 9,9:0.0621057 10,10:0.12828 11,11:0.114213 12,12:0.0769293 13,13:0.0455616 14,14:0.0447599 15,15:0.0723081 16,16:0.0780512
DOC38 1,1:0.11271 2,2:0.0788525 3,3:0.100133 4,4:0.0695669 5,5:0.101549 6,6:0.0931907 7,7:0.131245 8,8:0.172409 9,9:0.0872785 10,10:0.0808701 11,11:0.0633632 12,12:0.0551872 13,13:0.0650205 14,14:0.0443976 15,15:0.105781 16,16:0.0948802
DOC39 1,1:0.0716047 2,2:0.0839757 3,3:0.0982896 4,4:0.0757537 5,5:0.0754303 6,6:0.103817 7,7:0.0811593 8,8:0.11852 9,9:0.0919886 10,10:0.115626 11,11:0.0915721 12,12:0.103558 13,13:0.0528488 14,14:0.0325888 15,15:0.0557372 16,16:0.0289664
DOC40 1,1:0.0700415 2,2:0.10246 3,3:0.144956 4,4:0.102842 5,5:0.0554754 6,6:0.0817523 7,7:0.0526626 8,8:0.0559145 9,9:0.110075 10,10:0.0647352 11,11:0.140753 12,12:0.0741234 13,13:0.0826255 14,14:0.0869912 15,15:0.0856508 16,16:0.0883004
DOC41 1,1:0.0206551 2,2:0.102793 3,3:0.0740813 4,4:0.0503928 5,5:0.0640023 6,6:0.107409 7,7:0.0629275 8,8:0.0933002 9,9:0.0717433 10,10:0.0552518 11,11:0.0585407 12,12:0.123974 13,13:0.138051 14,14:0.0627722 15,15:0.058605 16,16:0.120106
DOC42 1,1:0.0709278 2,2:0.0624671 3,3:0.0499806 4,4:0.111212 5,5:0.0817496 6,6:0.0962875 7,7:0.17481 8,8:0.127965 9,9:0.0667848 10,10:0.132202 11,11:0.0622188 12,12:0.12055 13,13:0.0933404 14,14:0.0774283 15,15:0.0416349 16,16:0.13069
DOC43 1,1:0.0326865 2,2:0.116053 3,3:0.063644 4,4:0.0404941 5,5:0.0980156 6,6:0.0770912 7,7:0.0770758 8,8:0.0619247 9,9:0.044509 10,10:0.14872 11,11:0.112031 12,12:0.0765062 13,13:0.0729932 14,14:0.130577 15,15:0.0579549 16,16:0.0293978
DOC44 1,1:0.105782 2,2:0.0367271 3,3:0.0468833 4,4:0.0529716 5,5:0.154459 6,6:0.0633995 7,7:0.0758873 8,8:0.15129 9,9:0.0632543 10,10:0.0741372 11,11:0.0726093 12,12:0.0685859 13,13:0.0660362 14,14:0.108831 15,15:0.133967 16,16:0.0879826
DOC45 1,1:0.0520862 2,2:0.0793328 3,3:0.0867819 4,4:0.0674148 5,5:0.136528 6,6:0.113944 7,7:0.0335394 8,8:0.116487 9,9:0.0574108 10,10:0.0685937 11,11:0.0785032 12,12:0.101185 13,13:0.086638 14,14:0.0686012 15,15:0.072098 16,16:0.103049
DOC46 1,1:0.0742272 2,2:0.0902681 3,3:0.0997956 4,4:0.0695499 5,5:0.0454324 6,6:0.0882049 7,7:0.113314 8,8:0.0765018 9,9:0.0781448 10,10:0.0895897 11,11:0.0943284 12,12:0.0441007 13,13:0.0761899 14,14:0.0865733 15,15:0.061251 16,16:0.0611119
DOC47 1,1:0.0827521 2,2:0.0991524 3,3:0.0519932 4,4:0.0875281 5,5:0.117816 6,6:0.124868 7,7:0.0615832 8,8:0.100447 9,9:0.108575 10,10:0.0803031 11,11:0.0876265 12,12:0.065271 13,13:0.117183 14,14:0.0517842 15,15:0.0539616 16,16:0.0851968
DOC48 1,1:0.0532409 2,2:0.0356475 3,3:0.070372 4,4:0.146723 5,5:0.108512 6,6:0.0631282 7,7:0.0723334 8,8:0.0545312 9,9:0.0598695 10,10:0.0671999 11,11:0.131234 12,12:0.0523049 13,13:0.119532 14,14:0.0817995 15,15:0.0819623 16,16:0.101309
DOC49 1,1:0.0576869 2,2:0.149074 3,3:0.0856209 4,4:0.131529 5,5:0.108776 6,6:0.0636775 7,7:0.060596 8,8:0.0714729 9,9:0.0673352 10,10:0.088776 11,11:0.0906698 12,12:0.0976312 13,13:0.0690473 14,14:0.0516258 15,15:0.103825 16,16:0.0475637
DOC50 1,1:0.0502363 2,2:0.0738539 3,3:0.103864 4,4:0.054508 5,5:0.0785039 6,6:0.0677964 7,7:0.0922585 8,8:0.0525657 9,9:0.1011 10,10:0.136513 11,11:0.0678171 12,12:0.105443 13,13:0.100052 14,14:0.0668464 15,15:0.118196 16,16:0.086608
DOC51 1,1:0.0689451 2,2:0.0885244 3,3:0.0817758 4,4:0.0307236 5,5:0.0747585 6,6:0.0880411 7,7:0.0785975 8,8:0.101802 9,9:0.0573306 10,10:0.0703477 11,11:0.103412 12,12:0.156777 13,13:0.0891297 14,14:0.0420799 15,15:0.0648723 16,16:0.0584272
DOC52 1,1:0.0924187 2,2:0.0476215 3,3:0.0997257 4,4:0.051162 5,5:0.065957 6,6:0.088461 7,7:0.102406 8,8:0.0903566 9,9:0.066476 10,10:0.0745286 11,11:0.0667989 12,12:0.0511589 13,13:0.0546388 14,14:0.0419229 15,15:0.0959054 16,16:0.0757619
DOC53 1,1:0.106876 2,2:0.0652265 3,3:0.120201 4,4:0.0882435 5,5:0.0598776 6,6:0.0490597 7,7:0.0673363 8,8:0.106163 9,9:0.0525771 10,10:0.104834 11,11:0.0812152 12,12:0.032436 13,13:0.0520233 14,14:0.0791249 15,15:0.107588 16,16:0.0956
DOC54 1,1:0.123737 2,2:0.0663006 3,3:0.0565982 4,4:0.0844191 5,5:0.065505 6,6:0.111599 7,7:0.0691446 8,8:0.111811 9,9:0.0606796 10,10:0.0828348 11,11:0.055022 12,12:0.0404289 13,13:0.142163 14,14:0.0810127 15,15:0.0585221 16,16:0.0999896
DOC55 1,1:0.0750284 2,2:0.0953831 3,3:0.0551402 4,4:0.0505258 5,5:0.0681441 6,6:0.0648036 7,7:0.0808571 8,8:0.0885833 9,9:0.0745693 10,10:0.0750841 11,11:0.0501166 12,12:0.0939781 13,13:0.0526206 14,14:0.0767152 15,15:0.0828782 16,16:0.0717656
DOC56 1,1:0.0720025 2,2:0.103424 3,3:0.0532333 4,4:0.0757846 5,5:0.0635801 6,6:0.0774238 7,7:0.0531375 8,8:0.0854699 9,9:0.0861989 10,10:0.092952 11,11:0.0743553 12,12:0.0557626 13,13:0.0677854 14,14:0.117621 15,15:0.0828379 16,16:0.112529
DOC57 1,1:0.128485 2,2:0.0718274 3,3:0.135171 4,4:0.0239327 5,5:0.101434 6,6:0.079917 7,7:0.0827605 8,8:0.0546718 9,9:0.0861195 10,10:0.0757009 11,11:0.130337 12,12:0.0870417 13,13:0.0599206 14,14:0.0756956 15,15:0.0498365 16,16:0.0550399
DOC58 1,1:0.0620637 2,2:0.0913557 3,3:0.0737241 4,4:0.0657419 5,5:0.0861903 6,6:0.0795888 7,7:0.0421285 8,8:0.0437201 9,9:0.135539 10,10:0.0342777 11,11:0.0954996 12,12:0.103495 13,13:0.105718 14,14:0.0827265 15,15:0.119927 16,16:0.0570052
DOC59 1,1:0.0944218 2,2:0.0713745 3,3:0.147857 4,4:0.110414 5,5:0.0389061 6,6:0.080694 7,7:0.0778534 8,8:0.0743867 9,9:0.0420565 10,10:0.0985821 11,11:0.0743268 12,12:0.0678269 13,13:0.0534089 14,14:0.140542 15,15:0.0460007 16,16:0.0955096
DOC60 1,1:0.072847 2,2:0.0854612 3,3:0.0409472 4,4:0.0381296 5,5:0.0362445 6,6:0.0462308 7,7:0.101132 8,8:0.142573 9,9:0.0866393 10,10:0.070195 11,11:0.0584396 12,12:0.0830079 13,13:0.0982741 14,14:0.0842511 15,15:0.110475 16,16:0.0929797
DOC61 1,1:0.0997144 2,2:0.0696574 3,3:0.0552092 4,4:0.0839042 5,5:0.0840914 6,6:0.0646606 7,7:0.0574196 8,8:0.0945863 9,9:0.0974206 10,10:0.0847415 11,11:0.071809 12,12:0.0780966 13,13:0.0576458 14,14:0.061529 15,15:0.12148 16,16:0.0675524
DOC62 1,1:0.134714 2,2:0.0910276 3,3:0.164999 4,4:0.0349406 5,5:0.080831 6,6:0.0506396 7,7:0.101233 8,8:0.0468993 9,9:0.0809742 10,10:0.0443109 11,11:0.108667 12,12:0.0635655 13,13:0.0347552 14,14:0.101522 15,15:0.0745405 16,16:0.081616
DOC63 1,1:0.0749115 2,2:0.0537091 3,3:0.0388159 4,4:0.127361 5,5:0.0842862 6,6:0.0728379 7,7:0.112942 8,8:0.116923 9,9:0.0635997 10,10:0.0940369 11,11:0.0496408 12,12:0.160433 13,13:0.100093 14,14:0.0732112 15,15:0.0523408 16,16:0.0586957
DOC64 1,1:0.114854 2,2:0.0876021 3,3:0.0614606 4,4:0.0845494 5,5:0.11627 6,6:0.0974169 7,7:0.133707 8,8:0.0830945 9,9:0.0510899 10,10:0.0571386 11,11:0.0597666 12,12:0.0465077 13,13:0.109522 14,14:0.110782 15,15:0.0824615 16,16:0.0660123
DOC65 1,1:0.11293 2,2:0.099613 3,3:0.063643 4,4:0.101571 5,5:0.0854573 6,6:0.0892403 7,7:0.0531561 8,8:0.105303 9,9:0.0945301 10,10:0.111007 11,11:0.0525084 12,12:0.0894966 13,13:0.0612765 14,14:0.119268 15,15:0.113521 16,16:0.0819643
DOC66 1,1:0.0770495 2,2:0.0620279 3,3:0.06477 4,4:0.03333 5,5:0.0663265 6,6:0.144884 7,7:0.0653917 8,8:0.044891 9,9:0.0643954 10,10:0.0696899 11,11:0.0962199 12,12:0.101109 13,13:0.0462082 14,14:0.0543567 15,15:0.0594701 16,16:0.093292
DOC67 1,1:0.168049 2,2:0.0555738 3,3:0.11411 4,4:0.121899 5,5:0.0544277 6,6:0.0722902 7,7:0.0560165 8,8:0.0534077 9,9:0.0696724 10,10:0.113605 11,11:0.0516061 12,12:0.0810147 13,13:0.0546447 14,14:0.0845062 15,15:0.0892663 16,16:0.125424
DOC68 1,1:0.0466246 2,2:0.0683896 3,3:0.0712042 4,4:0.0912979 5,5:0.10351 6,6:0.0873695 7,7:0.138406 8,8:0.079689 9,9:0.102572 10,10:0.054508 11,11:0.0488708 12,12:0.0615431 13,13:0.0826085 14,14:0.0979806 15,15:0.105002 16,16:0.0946238
DOC69 1,1:0.0891285 2,2:0.0825137 3,3:0.0784658 4,4:0.120717 5,5:0.038541 6,6:0.129027 7,7:0.0499081 8,8:0.0935655 9,9:0.0987388 10,10:0.0423148 11,11:0.0717079 12,12:0.0633762 13,13:0.0795231 14,14:0.0894715 15,15:0.0667086 16,16:0.0926538
DOC70 1,1:0.0846298 2,2:0.0551835 3,3:0.0585146 4,4:0.0983203 5,5:0.0778677 6,6:0.0945081 7,7:0.104062 8,8:0.0528078 9,9:0.0990689 10,10:0.109665 11,11:0.0707742 12,12:0.0656005 13,13:0.0557288 14,14:0.0901208 15,15:0.067606 16,16:0.0909017
DOC71 1,1:0.0547605 2,2:0.0652465 3,3:0.0764859 4,4:0.107732 5,5:0.0695159 6,6:0.0937601 7,7:0.0610586 8,8:0.0247355 9,9:0.04902 10,10:0.0693665 11,11:0.124468 12,12:0.0896651 13,13:0.0590867 14,14:0.0878263 15,15:0.111724 16,16:0.132368
DOC72 1,1:0.105428 2,2:0.0740349 3,3:0.0771829 4,4:0.120284 5,5:0.10116 6,6:0.0311659 7,7:0.117681 8,8:0.0449589 9,9:0.0460235 10,10:0.0523469 11,11:0.0919728 12,12:0.0718878 13,13:0.110653 14,14:0.0720092 15,15:0.110312 16,16:0.0373573
DOC73 1,1:0.116235 2,2:0.0538235 3,3:0.104789 4,4:0.0616763 5,5:0.0835313 6,6:0.103929 7,7:0.044767 8,8:0.0905165 9,9:0.0871326 10,10:0.0626414 11,11:0.049965 12,12:0.0437458 13,13:0.0798939 14,14:0.12608 15,15:0.0921816 16,16:0.0565318
DOC74 1,1:0.0869178 2,2:0.11369 3,3:0.0670123 4,4:0.0538139 5,5:0.094686 6,6:0.0882782 7,7:0.144972 8,8:0.0693136 9,9:0.141619 10,10:0.0762376 11,11:0.105965 12,12:0.116618 13,13:0.0531515 14,14:0.0448957 15,15:0.0527392 16,16:0.0956874
DOC75 1,1:0.0409979 2,2:0.0616375 3,3:0.0644243 4,4:0.0732816 5,5:0.0290096 6,6:0.0540612 7,7:0.126423 8,8:0.0513046 9,9:0.0964671 10,10:0.102714 11,11:0.0855208 12,12:0.0700101 13,13:0.0646423 14,14:0.0788416 15,15:0.0933496 16,16:0.126241
DOC76 1,1:0.125045 2,2:0.0757003 3,3:0.12268 4,4:0.0761152 5,5:0.0550922 6,6:0.0475488 7,7:0.0551393 8,8:0.123339 9,9:0.0642182 10,10:0.0875349 11,11:0.0815442 12,12:0.185082 13,13:0.0252153 14,14:0.0651164 15,15:0.0547595 16,16:0.0788478
DOC77 1,1:0.0737397 2,2:0.0807562 3,3:0.116194 4,4:0.0956332 5,5:0.086595 6,6:0.0735667 7,7:0.0645014 8,8:0.0585124 9,9:0.063964 10,10:0.0751411 11,11:0.0820309 12,12:0.069501 13,13:0.0451224 14,14:0.0523563 15,15:0.0893547 16,16:0.0483585
DOC78 1,1:0.0676251 2,2:0.0817812 3,3:0.0571261 4,4:0.152152 5,5:0.095751 6,6:0.0626059 7,7:0.0751952 8,8:0.0824979 9,9:0.0498738 10,10:0.072143 11,11:0.0664212 12,12:0.0654041 13,13:0.104484 14,14:0.0942811 15,15:0.151343 16,16:0.0612572
DOC79 1,1:0.0419661 2,2:0.102954 3,3:0.0761685 4,4:0.0667259 5,5:0.0774699 6,6:0.0518432 7,7:0.0873669 8,8:0.0703858 9,9:0.109366 10,10:0.076961 11,11:0.0656384 12,12:0.029395 13,13:0.076663 14,14:0.103114 15,15:0.0861097 16,16:0.0785719
DOC80 1,1:0.0724252 2,2:0.0619306 3,3:0.070714 4,4:0.159045 5,5:0.10435 6,6:0.115057 7,7:0.131773 8,8:0.11606 9,9:0.0661102 10,10:0.060368 11,11:0.095989 12,12:0.102911 13,13:0.0712252 14,14:0.0358418 15,15:0.0564625 16,16:0.0746979
DOC81 1,1:0.0585987 2,2:0.0778616 3,3:0.0641792 4,4:0.0400173 5,5:0.0594005 6,6:0.108306 7,7:0.118974 8,8:0.0580719 9,9:0.0712295 10,10:0.130504 11,11:0.0558798 12,12:0.0337795 13,13:0.0844761 14,14:0.0919603 15,15:0.0721377 16,16:0.0578744
DOC82 1,1:0.107616 2,2:0.0471123 3,3:0.102464 4,4:0.0633802 5,5:0.115722 6,6:0.038074 7,7:0.11133 8,8:0.0326657 9,9:0.0499814 10,10:0.0858384 11,11:0.126043 12,12:0.0804604 13,13:0.0534515 14,14:0.09868 15,15:0.0743677 16,16:0.0913214
DOC83 1,1:0.0943002 2,2:0.104032 3,3:0.0830242 4,4:0.070235 5,5:0.128668 6,6:0.0497216 7,7:0.0334866 8,8:0.0588855 9,9:0.0799114 10,10:0.0689183 11,11:0.0654742 12,12:0.140552 13,13:0.095171 14,14:0.0542029 15,15:0.0572596 16,16:0.130114
DOC84 1,1:0.0628884 2,2:0.0498113 3,3:0.103548 4,4:0.0591978 5,5:0.0843366 6,6:0.051924 7,7:0.114322 8,8:0.129202 9,9:0.0778577 10,10:0.0825352 11,11:0.0813407 12,12:0.0757938 13,13:0.0532698 14,14:0.0593493 15,15:0.0584696 16,16:0.0971487
DOC85 1,1:0.0623789 2,2:0.0885769 3,3:0.0695792 4,4:0.0952963 5,5:0.0637839 6,6:0.0929853 7,7:0.0737324 8,8:0.0621988 9,9:0.0520527 10,10:0.0992285 11,11:0.0715521 12,12:0.0528064 13,13:0.0662176 14,14:0.091729 15,15:0.114758 16,16:0.095555
DOC86 1,1:0.0705272 2,2:0.0751452 3,3:0.0572478 4,4:0.0974223 5,5:0.0917405 6,6:0.159157 7,7:0.175325 8,8:0.0866571 9,9:0.042761 10,10:0.106889 11,11:0.077268 12,12:0.0755152 13,13:0.0759973 14,14:0.0504863 15,15:0.0818242 16,16:0.0846522
