DOC25 1:-2.10606 2:-2.10077 3:-1.16662 4:-0.901403 5:-1.2143 6:-1.55005 7:-1.35034 8:-1.06532 9:-0.949 10:-1.72367 11:-0.921815 12:-1.30444 13:-1.49761 14:-1.30094 15:-1.57259 16:-1.14309
DOC26 1:-1.99151 2:-1.92828 3:-1.20273 4:-1.01583 5:-0.974365 6:-1.84207 7:-1.29397 8:-1.25839 9:-1.15769 10:-1.57705 11:-1.13988 12:-1.38267 13:-1.62604 14:-1.35153 15:-1.64773 16:-1.20355
DOC27 1:-1.92181 2:-1.85063 3:-1.11378 4:-0.922162 5:-1.03573 6:-1.62227 7:-1.3934 8:-1.20714 9:-1.02947 10:-1.7066 11:-1.08733 12:-1.21195 13:-1.45967 14:-1.36138 15:-1.77878 16:-1.25229
DOC28 1:-1.83245 2:-1.85544 3:-1.03762 4:-1.07429 5:-0.971214 6:-1.47372 7:-1.14454 8:-1.24409 9:-1.10325 10:-1.63386 11:-0.841556 12:-1.25499 13:-1.48405 14:-1.29659 15:-1.57299 16:-1.08671
DOC29 1:-2.09214 2:-2.02 3:-1.14528 4:-0.964304 5:-1.07927 6:-1.48409 7:-1.46287 8:-1.0334 9:-1.2851 10:-1.58864 11:-0.930482 12:-1.22174 13:-1.51747 14:-1.49103 15:-1.46261 16:-1.17893
DOC30 1:-2.08819 2:-1.93954 3:-1.09429 4:-0.913868 5:-1.2932 6:-1.406 7:-1.31413 8:-1.19799 9:-0.982252 10:-1.49256 11:-1.16928 12:-1.27775 13:-1.72929 14:-1.44033 15:-1.72052 16:-1.10997
DOC31 1:-1.98081 2:-1.9432 3:-1.17342 4:-1.19837 5:-1.0923 6:-1.51244 7:-1.27938 8:-1.37254 9:-0.937807 10:-1.84007 11:-1.1312 12:-1.29297 13:-1.511 14:-1.41905 15:-1.68913 16:-1.10504
DOC32 1:-1.93586 2:-1.88407 3:-1.07501 4:-1.05912 5:-1.13188 6:-1.58357 7:-1.35178 8:-1.11541 9:-0.986625 10:-1.73404 11:-1.04046 12:-1.19861 13:-1.54727 14:-1.48848 15:-1.80869 16:-1.31705
DOC33 1:-1.84029 2:-1.78775 3:-1.2962 4:-0.897778 5:-1.01225 6:-1.48266 7:-1.24818 8:-1.32142 9:-1.10507 10:-1.69885 11:-1.10895 12:-1.3449 13:-1.45642 14:-1.44567 15:-1.58955 16:-1.29907
DOC34 1:-2.0701 2:-1.89257 3:-1.14438 4:-0.978065 5:-1.22144 6:-1.39166 7:-1.35601 8:-1.20339 9:-1.06609 10:-1.60499 11:-1.05854 12:-1.19547 13:-1.20776 14:-1.53973 15:-1.57444 16:-1.20119
DOC35 1:-2.02867 2:-1.87954 3:-1.32875 4:-1.04432 5:-1.14257 6:-1.6303 7:-1.26629 8:-1.06833 9:-1.13457 10:-1.60159 11:-1.09917 12:-1.18089 13:-1.36652 14:-1.51372 15:-1.62023 16:-1.37801
DOC36 1:-1.89426 2:-1.84396 3:-0.997057 4:-1.02843 5:-1.01738 6:-1.66795 7:-1.2548 8:-1.22038 9:-1.0709 10:-1.49945 11:-1.15607 12:-1.2839 13:-1.3793 14:-1.39252 15:-1.61307 16:-1.32589
DOC37 1:-2.2366 2:-1.78202 3:-1.13497 4:-1.03285 5:-1.04634 6:-1.50521 7:-1.3452 8:-1.1762 9:-1.16653 10:-1.86289 11:-0.994687 12:-1.26529 13:-1.55451 14:-1.47381 15:-1.55276 16:-1.17182
DOC38 1:-1.99903 2:-1.85203 3:-1.19375 4:-1.04725 5:-1.16834 6:-1.70675 7:-1.2428 8:-1.21718 9:-1.2009 10:-1.75508 11:-0.963139 12:-1.36696 13:-1.29907 14:-1.37167 15:-1.71526 16:-1.30422
DOC39 1:-1.9414 2:-2.01591 3:-1.0888 4:-1.06842 5:-0.935011 6:-1.55732 7:-1.26453 8:-1.01754 9:-1.18081 10:-1.75388 11:-1.16943 12:-1.22666 13:-1.50694 14:-1.59494 15:-1.75909 16:-1.22091
DOC40 1:-1.67351 2:-1.8265 3:-1.04002 4:-1.08159 5:-1.14151 6:-1.45045 7:-1.28741 8:-1.03715 9:-1.0387 10:-1.71293 11:-0.849357 12:-1.19032 13:-1.51656 14:-1.46182 15:-1.62333 16:-1.11616
DOC41 1:-1.78027 2:-1.82773 3:-1.23065 4:-0.868776 5:-1.25883 6:-1.5785 7:-1.36084 8:-1.26357 9:-0.990782 10:-1.70058 11:-1.08881 12:-1.33314 13:-1.45246 14:-1.49886 15:-1.6687 16:-1.36107
DOC42 1:-1.95876 2:-1.93694 3:-1.12535 4:-0.887274 5:-0.982399 6:-1.45321 7:-1.28369 8:-1.27369 9:-1.185 10:-1.71345 11:-0.952449 12:-1.21983 13:-1.3179 14:-1.30406 15:-1.64393 16:-1.21527
DOC43 1:-2.06617 2:-1.81808 3:-1.08856 4:-0.917994 5:-1.17725 6:-1.67789 7:-1.30048 8:-1.1475 9:-1.0809 10:-1.62184 11:-1.21316 12:-1.56134 13:-1.54405 14:-1.33497 15:-1.69774 16:-1.30651
DOC44 1:-1.77991 2:-1.72436 3:-1.27217 4:-1.0991 5:-1.08411 6:-1.56803 7:-1.5202 8:-1.21901 9:-0.97626 10:-1.79538 11:-1.02532 12:-1.38906 13:-1.46105 14:-1.44051 15:-1.73963 16:-1.12655
DOC45 1:-1.73957 2:-2.03314 3:-1.15221 4:-1.08048 5:-1.04738 6:-1.54168 7:-1.26061 8:-1.06519 9:-1.11281 10:-1.81832 11:-0.906866 12:-1.53375 13:-1.3811 14:-1.49644 15:-1.59008 16:-1.07042
DOC46 1:-1.6701 2:-2.08811 3:-1.19917 4:-1.02576 5:-1.09981 6:-1.56045 7:-1.3626 8:-1.08148 9:-1.14764 10:-1.62186 11:-1.10739 12:-1.26473 13:-1.53252 14:-1.12306 15:-1.65304 16:-1.16482
DOC47 1:-1.68505 2:-1.89224 3:-1.07209 4:-1.06646 5:-1.174 6:-1.7226 7:-1.22605 8:-1.15508 9:-1.16373 10:-1.709 11:-1.04623 12:-1.27638 13:-1.39766 14:-1.49793 15:-1.59799 16:-1.12353
DOC48 1:-1.98526 2:-1.98667 3:-1.10923 4:-1.00336 5:-0.935211 6:-1.67969 7:-1.18391 8:-1.03853 9:-1.12864 10:-1.80477 11:-1.16382 12:-1.36597 13:-1.53455 14:-1.20635 15:-1.70182 16:-1.33271
DOC49 1:-1.96252 2:-1.76423 3:-1.14924 4:-1.20718 5:-0.976075 6:-1.56425 7:-1.192 8:-1.15174 9:-1.08862 10:-1.82359 11:-1.30082 12:-1.25207 13:-1.50645 14:-1.64522 15:-1.69822 16:-1.20999
DOC50 1:-2.04032 2:-1.83768 3:-1.2261 4:-1.01333 5:-1.15294 6:-1.41599 7:-1.09636 8:-1.21956 9:-1.24295 10:-1.96399 11:-1.14359 12:-1.20385 13:-1.45375 14:-1.25646 15:-1.62882 16:-1.24256
DOC51 1:-1.94503 2:-1.84703 3:-1.06474 4:-1.04576 5:-1.02026 6:-1.72054 7:-1.31272 8:-1.1724 9:-1.11885 10:-1.46541 11:-1.10809 12:-1.33377 13:-1.41323 14:-1.26411 15:-1.62223 16:-1.1979
DOC52 1:-1.77068 2:-1.80004 3:-1.11617 4:-0.927544 5:-1.17516 6:-1.67168 7:-1.48499 8:-1.11104 9:-1.10645 10:-1.68657 11:-1.14508 12:-1.39142 13:-1.40075 14:-1.38189 15:-1.73632 16:-1.16714
DOC53 1:-2.09534 2:-1.77784 3:-0.977003 4:-1.15353 5:-1.05575 6:-1.35891 7:-1.38149 8:-0.944613 9:-0.988855 10:-1.63339 11:-1.15111 12:-1.29246 13:-1.52348 14:-1.36775 15:-1.69879 16:-1.04048
DOC54 1:-1.96726 2:-1.76452 3:-1.17806 4:-1.02951 5:-1.05834 6:-1.64562 7:-1.34883 8:-0.961516 9:-1.11048 10:-1.64613 11:-1.09453 12:-1.34155 13:-1.44467 14:-1.32668 15:-1.75115 16:-1.17565
DOC55 1:-1.84908 2:-1.81873 3:-1.10241 4:-1.02284 5:-1.0582 6:-1.52431 7:-1.50975 8:-1.20633 9:-1.10574 10:-1.87358 11:-1.3668 12:-1.18783 13:-1.49058 14:-1.42321 15:-1.6143 16:-1.11297
DOC56 1:-1.96759 2:-1.88598 3:-1.35495 4:-1.07511 5:-1.06601 6:-1.56514 7:-1.19141 8:-1.24688 9:-1.10891 10:-1.70235 11:-1.12284 12:-1.45584 13:-1.59397 14:-1.44723 15:-1.76299 16:-0.972097
DOC57 1:-1.98568 2:-1.68403 3:-1.04774 4:-0.940596 5:-1.15672 6:-1.50005 7:-1.18632 8:-1.08934 9:-1.13811 10:-1.6323 11:-1.23352 12:-1.21978 13:-1.4103 14:-1.53927 15:-1.6168 16:-1.07374
DOC58 1:-1.94411 2:-1.84818 3:-1.2446 4:-0.937977 5:-1.15137 6:-1.70478 7:-1.20378 8:-1.16983 9:-1.07836 10:-1.76957 11:-1.09395 12:-1.24978 13:-1.42532 14:-1.41984 15:-1.51643 16:-1.13224
DOC59 1:-1.98288 2:-2.02434 3:-1.00241 4:-0.93086 5:-1.04542 6:-1.50839 7:-1.25909 8:-1.12667 9:-1.1368 10:-1.72079 11:-0.959419 12:-1.32517 13:-1.5435 14:-1.38534 15:-1.66906 16:-1.07558
DOC60 1:-1.85876 2:-2.0246 3:-1.24922 4:-1.08638 5:-1.04413 6:-1.68402 7:-1.33198 8:-1.128 9:-1.01147 10:-1.7304 11:-1.03811 12:-1.24748 13:-1.37721 14:-1.36453 15:-1.64279 16:-1.11731
DOC61 1:-1.85873 2:-1.75785 3:-1.1682 4:-1.23449 5:-1.03258 6:-1.516 7:-1.49862 8:-1.29631 9:-0.941013 10:-1.67119 11:-1.04207 12:-1.34896 13:-1.42825 14:-1.56317 15:-1.71752 16:-1.19832
DOC62 1:-1.88098 2:-1.89219 3:-1.15224 4:-0.948974 5:-1.17647 6:-1.63324 7:-1.26457 8:-1.16214 9:-1.07845 10:-1.75207 11:-1.07076 12:-1.23265 13:-1.37845 14:-1.44955 15:-1.75954 16:-1.28551
DOC63 1:-1.99129 2:-1.74773 3:-1.0477 4:-0.877939 5:-1.30353 6:-1.60462 7:-1.28659 8:-1.39369 9:-1.18435 10:-1.85725 11:-1.09639 12:-1.51084 13:-1.41675 14:-1.45374 15:-1.6244 16:-1.17926
DOC64 1:-1.81148 2:-1.87644 3:-1.19803 4:-1.02433 5:-1.03128 6:-1.53779 7:-1.30484 8:-0.918545 9:-1.18201 10:-1.748 11:-1.12355 12:-1.34856 13:-1.48162 14:-1.38358 15:-1.67946 16:-1.10354
DOC65 1:-1.91466 2:-1.79847 3:-1.03771 4:-1.04676 5:-1.02729 6:-1.44783 7:-1.2606 8:-1.24105 9:-0.994774 10:-1.66652 11:-1.08106 12:-1.37284 13:-1.29945 14:-1.44663 15:-1.54241 16:-1.24271
DOC66 1:-1.94432 2:-1.99583 3:-1.00494 4:-1.01942 5:-1.01458 6:-1.51833 7:-1.133 8:-1.14019 9:-1.14434 10:-1.96157 11:-1.30737 12:-1.23138 13:-1.30724 14:-1.23072 15:-1.60928 16:-1.17382
DOC67 1:-1.81816 2:-1.81006 3:-1.05732 4:-0.934944 5:-1.17053 6:-1.66685 7:-1.37995 8:-1.01562 9:-1.1133 10:-1.55046 11:-1.20644 12:-1.2892 13:-1.4295 14:-1.32876 15:-1.59409 16:-1.17981
DOC68 1:-2.00683 2:-1.81402 3:-1.01614 4:-1.00399 5:-1.08902 6:-1.42626 7:-1.09792 8:-1.24742 9:-1.11393 10:-1.54201 11:-1.06912 12:-1.22206 13:-1.55031 14:-1.40801 15:-1.68099 16:-1.2663
DOC69 1:-1.98363 2:-1.63743 3:-1.04888 4:-1.02377 5:-1.13971 6:-1.65137 7:-1.2144 8:-1.08731 9:-1.16048 10:-1.78561 11:-1.14071 12:-1.16864 13:-1.45821 14:-1.47769 15:-1.76134 16:-1.37354
DOC70 1:-1.92392 2:-1.79625 3:-1.15871 4:-1.07873 5:-0.99791 6:-1.44086 7:-1.3119 8:-1.45922 9:-1.04525 10:-1.68797 11:-1.08909 12:-1.37313 13:-1.23666 14:-1.55598 15:-1.64344 16:-1.13136
DOC71 1:-1.97121 2:-1.75168 3:-1.21693 4:-0.929378 5:-1.17436 6:-1.51632 7:-1.32707 8:-1.18441 9:-1.16152 10:-1.71451 11:-0.860736 12:-1.30704 13:-1.27227 14:-1.41623 15:-1.6156 16:-1.14779
DOC72 1:-1.98439 2:-1.702 3:-1.03709 4:-0.920875 5:-1.07354 6:-1.75701 7:-1.23613 8:-1.37913 9:-1.14691 10:-1.61638 11:-1.03956 12:-1.28032 13:-1.42786 14:-1.34105 15:-1.68693 16:-1.27985
DOC73 1:-1.86553 2:-1.96448 3:-0.980418 4:-0.960394 5:-1.1844 6:-1.45432 7:-1.32944 8:-1.1856 9:-0.9089 10:-1.75839 11:-1.14129 12:-1.28466 13:-1.53998 14:-1.45573 15:-1.68183 16:-1.2551
DOC74 1:-1.87428 2:-1.83374 3:-0.997389 4:-1.07009 5:-0.938383 6:-1.55742 7:-1.18123 8:-1.13565 9:-0.956012 10:-1.66985 11:-0.737799 12:-1.26075 13:-1.34132 14:-1.53666 15:-1.74298 16:-1.03402
DOC75 1:-1.90524 2:-2.05429 3:-1.19274 4:-1.11949 5:-0.992736 6:-1.58894 7:-1.42835 8:-1.0411 9:-1.1435 10:-1.77063 11:-1.24693 12:-1.40915 13:-1.29689 14:-1.52208 15:-1.55326 16:-1.09057
DOC76 1:-1.88958 2:-1.95354 3:-0.998967 4:-1.00122 5:-1.17811 6:-1.63379 7:-1.17464 8:-1.1981 9:-1.09061 10:-1.73405 11:-1.2765 12:-1.38189 13:-1.45063 14:-1.56939 15:-1.63257 16:-1.07893
DOC77 1:-1.82724 2:-1.9277 3:-0.988 4:-0.959295 5:-1.20563 6:-1.42697 7:-1.14686 8:-1.13587 9:-1.17849 10:-1.7781 11:-1.11209 12:-1.25811 13:-1.3644 14:-1.42817 15:-1.47513 16:-1.02228
DOC78 1:-1.78026 2:-1.93287 3:-1.0648 4:-0.926566 5:-1.11121 6:-1.7194 7:-1.25868 8:-1.1486 9:-0.937637 10:-1.58772 11:-1.06521 12:-1.31426 13:-1.50307 14:-1.39015 15:-1.64639 16:-1.22635
DOC79 1:-1.87576 2:-1.96715 3:-1.07114 4:-1.14476 5:-0.99829 6:-1.62987 7:-1.18848 8:-1.00876 9:-1.01344 10:-1.81191 11:-1.10237 12:-1.28925 13:-1.42495 14:-1.4907 15:-1.58043 16:-1.2185
DOC80 1:-1.95116 2:-2.02063 3:-1.14841 4:-0.991394 5:-1.12603 6:-1.47837 7:-1.21605 8:-1.16147 9:-1.01841 10:-1.70623 11:-1.13851 12:-1.38955 13:-1.38109 14:-1.40508 15:-1.52057 16:-1.06385
DOC81 1:-2.01601 2:-1.75738 3:-0.885025 4:-1.04344 5:-1.01518 6:-1.50812 7:-1.32876 8:-1.18819 9:-1.08273 10:-1.83683 11:-1.14374 12:-1.24298 13:-1.48736 14:-1.50193 15:-1.38868 16:-1.13106
DOC82 1:-1.95784 2:-1.93321 3:-0.956814 4:-0.811152 5:-1.0438 6:-1.40153 7:-1.33701 8:-1.0191 9:-0.957798 10:-1.55658 11:-1.09985 12:-1.47037 13:-1.46188 14:-1.51776 15:-1.578 16:-1.09371
DOC83 1:-1.96162 2:-1.89528 3:-1.11611 4:-1.0168 5:-1.05228 6:-1.55126 7:-1.40775 8:-1.24376 9:-1.19974 10:-1.71185 11:-0.941219 12:-1.35733 13:-1.33432 14:-1.28634 15:-1.79962 16:-1.29889
DOC84 1:-2.03098 2:-1.88533 3:-1.15743 4:-0.856373 5:-0.969003 6:-1.54036 7:-1.29869 8:-0.912943 9:-0.971876 10:-1.77792 11:-1.02063 12:-1.2669 13:-1.49034 14:-1.50329 15:-1.70424 16:-1.30251
DOC85 1:-1.98069 2:-1.80049 3:-0.968837 4:-0.87361 5:-0.908171 6:-1.53341 7:-1.36741 8:-1.2795 9:-0.888679 10:-1.89332 11:-1.21407 12:-1.40792 13:-1.55409 14:-1.31087 15:-1.74106 16:-1.28176
DOC86 1:-2.07005 2:-1.93419 3:-1.12195 4:-0.950425 5:-1.05463 6:-1.52407 7:-1.23893 8:-1.14503 9:-1.14604 10:-1.70173 11:-1.23185 12:-1.24752 13:-1.38878 14:-1.45606 15:-1.63737 16:-1.15756
DOC87 1:-1.89913 2:-1.84447 3:-1.24325 4:-0.940779 5:-1.15279 6:-1.74442 7:-1.32727 8:-1.10737 9:-0.905291 10:-1.83509 11:-1.06514 12:-1.33796 13:-1.52515 14:-1.39878 15:-1.7088 16:-1.00755
DOC88 1:-2.04649 2:-1.74523 3:-1.08444 4:-0.983854 5:-1.17972 6:-1.42916 7:-1.38204 8:-1.14598 9:-1.16643 10:-1.78789 11:-1.07688 12:-1.25563 13:-1.57487 14:-1.492 15:-1.74376 16:-1.20594
DOC89 1:-2.17171 2:-1.71538 3:-1.23858 4:-0.818948 5:-1.02117 6:-1.57099 7:-1.23847 8:-1.2257 9:-0.953393 10:-1.68845 11:-1.11352 12:-1.28637 13:-1.55168 14:-1.41789 15:-1.63569 16:-1.29981
DOC90 1:-1.83481 2:-1.86869 3:-1.22694 4:-0.949665 5:-1.11693 6:-1.58416 7:-1.21673 8:-1.222 9:-1.07473 10:-1.73222 11:-1.18064 12:-1.25302 13:-1.50908 14:-1.08073 15:-1.6108 16:-1.19999
DOC91 1:-1.88437 2:-1.73152 3:-1.30864 4:-1.17821 5:-1.16048 6:-1.62295 7:-1.17657 8:-1.21064 9:-0.92183 10:-1.72566 11:-1.19083 12:-1.29199 13:-1.51127 14:-1.39067 15:-1.64304 16:-1.11212
DOC92 1:-1.70583 2:-1.86534 3:-1.05319 4:-0.974276 5:-1.32195 6:-1.60545 7:-1.39719 8:-1.05902 9:-1.07882 10:-1.6926 11:-1.28294 12:-1.30493 13:-1.48938 14:-1.16409 15:-1.5142 16:-1.17968
DOC93 1:-1.91381 2:-1.97984 3:-1.08342 4:-1.0734 5:-1.11559 6:-1.49732 7:-1.37855 8:-1.28017 9:-1.17015 10:-1.54599 11:-1.05485 12:-1.35542 13:-1.26821 14:-1.24457 15:-1.72188 16:-1.01965
DOC94 1:-1.94967 2:-1.82465 3:-1.1311 4:-1.06433 5:-1.11465 6:-1.88207 7:-1.31101 8:-0.961001 9:-1.11414 10:-1.58052 11:-1.22453 12:-1.33333 13:-1.47727 14:-1.33218 15:-1.5856 16:-1.02002
DOC95 1:-1.9281 2:-1.78245 3:-1.17656 4:-1.07934 5:-0.972883 6:-1.43777 7:-1.26632 8:-1.01375 9:-0.819464 10:-1.75435 11:-1.18969 12:-1.17257 13:-1.40587 14:-1.33597 15:-1.78665 16:-1.31841
DOC96 1:-1.928 2:-1.8951 3:-1.1742 4:-1.02439 5:-1.02918 6:-1.63631 7:-1.30265 8:-0.99882 9:-1.012 10:-1.66089 11:-1.30824 12:-1.37268 13:-1.51981 14:-1.60536 15:-1.53485 16:-1.17084
DOC97 1:-1.75198 2:-1.82908 3:-0.969066 4:-0.959182 5:-1.10789 6:-1.58535 7:-1.12296 8:-1.2353 9:-1.11243 10:-1.66106 11:-1.04619 12:-1.27819 13:-1.34585 14:-1.49599 15:-1.6659 16:-1.18974
DOC98 1:-1.7723 2:-1.90315 3:-1.20241 4:-1.15276 5:-1.15969 6:-1.46025 7:-1.23091 8:-1.12464 9:-1.00152 10:-1.72158 11:-1.09698 12:-1.31324 13:-1.56469 14:-1.42214 15:-1.50666 16:-1.20356
DOC99 1:-2.00561 2:-1.78101 3:-1.20727 4:-0.801167 5:-1.15768 6:-1.51309 7:-1.33634 8:-1.11366 9:-0.992111 10:-1.81924 11:-0.805078 12:-1.3992 13:-1.55398 14:-1.44632 15:-1.64126 16:-1.30008
DOC100 1:-2.04403 2:-1.83164 3:-1.11932 4:-0.988154 5:-1.0761 6:-1.54974 7:-1.34134 8:-1.07446 9:-0.996235 10:-1.75766 11:-1.02059 12:-1.32569 13:-1.54299 14:-1.37988 15:-1.40825 16:-1.32937
DOC101 1:-1.97227 2:-1.8876 3:-1.16356 4:-1.15139 5:-1.20414 6:-1.5408 7:-1.32739 8:-1.22701 9:-1.03053 10:-1.71964 11:-1.06972 12:-1.58143 13:-1.40561 14:-1.28372 15:-1.6691 16:-1.27979
DOC102 1:-1.86701 2:-1.96757 3:-1.26108 4:-0.999276 5:-1.17918 6:-1.64308 7:-1.20861 8:-1.02115 9:-1.10679 10:-1.74659 11:-1.13554 12:-1.12494 13:-1.26629 14:-1.37083 15:-1.55887 16:-1.15508
DOC103 1:-1.84947 2:-1.85705 3:-1.17753 4:-0.977819 5:-1.0796 6:-1.48832 7:-1.19148 8:-1.12831 9:-1.14511 10:-1.86343 11:-1.14579 12:-1.43715 13:-1.48279 14:-1.45176 15:-1.61848 16:-1.16168
DOC104 1:-2.05958 2:-1.95876 3:-1.26188 4:-1.02065 5:-1.21453 6:-1.47678 7:-1.25593 8:-1.27259 9:-1.18478 10:-1.62983 11:-1.15322 12:-1.22842 13:-1.4436 14:-1.29418 15:-1.67926 16:-1.04587
DOC105 1:-1.99923 2:-1.94135 3:-1.14486 4:-0.912814 5:-1.16312 6:-1.50286 7:-1.429 8:-1.21552 9:-1.0588 10:-1.75515 11:-1.17245 12:-1.55693 13:-1.38623 14:-1.4324 15:-1.66483 16:-1.34018
