DOC1 1,1:0.0699915
DOC76 1,1:0.0797621
DOC77 1,1:0.0890888
DOC78 1,1:0.0913512
DOC79 1,1:0.0786736
DOC80 1,1:0.077045
DOC81 1,1:0.0875984
DOC82 1,1:0.0707334
DOC83 1,1:0.0870988
DOC84 1,1:0.078675
DOC85 1,1:0.0744514
DOC86 1,1:0.0778683
DOC87 1,1:0.0928085
DOC88 1,1:0.081187
DOC89 1,1:0.0765314
DOC90 1,1:0.0700152
DOC91 1,1:0.0754624
DOC92 1,1:0.0926727
DOC93 1,1:0.0811059
DOC94 1,1:0.0862588
DOC95 1,1:0.0919564
DOC96 1,1:0.0710756
DOC97 1,1:0.077232
DOC98 1,1:0.0716415
DOC99 1,1:0.0768616
DOC100 1,1:0.0736462
DOC101 1,1:0.0742492
DOC102 1,1:0.0856342
DOC103 1,1:0.0864308
DOC104 1,1:0.0807662
DOC105 1,1:0.0710212
DOC106 1,1:0.0748705
DOC107 1,1:0.0695913
DOC108 1,1:0.0693261
DOC109 1,1:0.0765747
DOC110 1,1:0.0870674
DOC111 1,1:0.0803281
DOC112 1,1:0.0706618
DOC113 1,1:0.095058
DOC114 1,1:0.0925752
DOC115 1,1:0.0814744
DOC116 1,1:0.0786013
DOC117 1,1:0.0814164
DOC118 1,1:0.0907744
DOC119 1,1:0.0765029
DOC120 1,1:0.0755514
DOC121 1,1:0.0756833
DOC122 1,1:0.0673943
DOC123 1,1:0.0731576
DOC124 1,1:0.0769984
DOC125 1,1:0.0773768
DOC126 1,1:0.0829891
DOC127 1,1:0.0627165
DOC128 1,1:0.087016
DOC129 1,1:0.0725539
DOC130 1,1:0.0771231
DOC131 1,1:0.0718631
DOC132 1,1:0.0851104
DOC133 1,1:0.067777
DOC134 1,1:0.0692645
DOC135 1,1:0.0735148
DOC136 1,1:0.0850752
DOC137 1,1:0.0778441
DOC138 1,1:0.0756211
DOC139 1,1:0.0702843
DOC140 1,1:0.0588066
DOC141 1,1:0.0835411
DOC142 1,1:0.0810826
DOC143 1,1:0.0825659
DOC144 1,1:0.0818312
DOC145 1,1:0.0702418
DOC146 1,1:0.0655015
DOC147 1,1:0.0855879
DOC148 1,1:0.0836143
DOC149 1,1:0.0778165
DOC150 1,1:0.0925879
DOC151 1,1:0.0907688
DOC152 1,1:0.0707411
DOC153 1,1:0.0773501
DOC154 1,1:0.0871701
DOC155 1,1:0.0914618
DOC156 1,1:0.0678289
DOC157 1,1:0.0812359
DOC158 1,1:0.0694012
DOC159 1,1:0.0755523
DOC160 1,1:0.0758627
DOC161 1,1:0.0840275
DOC162 1,1:0.0941968
DOC163 1,1:0.09018
DOC164 1,1:0.0777611
DOC165 1,1:0.0762507
DOC166 1,1:0.0733118
DOC167 1,1:0.0825977
DOC168 1,1:0.0679357
DOC169 1,1:0.0902878
DOC170 1,1:0.0747061
DOC171 1,1:0.0765909
DOC172 1,1:0.0714799
DOC173 1,1:0.0669816
DOC174 1,1:0.0714512
DOC175 1,1:0.0862543
DOC176 1,1:0.0713686
DOC177 1,1:0.0787115
DOC178 1,1:0.0886436
DOC179 1,1:0.0890351
DOC180 1,1:0.0773887
DOC181 1,1:0.0782774
DOC182 1,1:0.0917203
DOC183 1,1:0.0853406
DOC184 1,1:0.0692647
DOC185 1,1:0.0754473
DOC186 1,1:0.0764247
DOC187 1,1:0.0821134
DOC188 1,1:0.0731461
DOC189 1,1:0.0745304
DOC190 1,1:0.076614
DOC191 1,1:0.0807665
DOC192 1,1:0.0770426
DOC193 1,1:0.0728544
DOC194 1,1:0.0936039
DOC195 1,1:0.0687829
DOC196 1,1:0.0861135
DOC197 1,1:0.0848942
DOC198 1,1:0.0766422
DOC199 1,1:0.0741813
DOC200 1,1:0.0785472
DOC201 1,1:0.0764809
DOC202 1,1:0.0723093
DOC203 1,1:0.0723814
DOC204 1,1:0.0725578
DOC205 1,1:0.0823516
DOC206 1,1:0.0694205
DOC207 1,1:0.0761412
DOC208 1,1:0.0836267
DOC209 1,1:0.0814446
DOC210 1,1:0.0763137
DOC211 1,1:0.0805468
DOC212 1,1:0.0832397
DOC213 1,1:0.0788304
DOC214 1,1:0.090271
DOC215 1,1:0.0801796
DOC216 1,1:0.0723281
DOC217 1,1:0.0739259
DOC218 1,1:0.0679885
DOC219 1,1:0.0656857
DOC220 1,1:0.0760411
DOC221 1,1:0.0784417
DOC222 1,1:0.0795813
DOC223 1,1:0.081844
DOC224 1,1:0.0859062
DOC225 1,1:0.0879875
DOC226 1,1:0.0848941
DOC227 1,1:0.0690295
DOC228 1,1:0.0789603
DOC229 1,1:0.0947409
DOC230 1,1:0.0799971
DOC231 1,1:0.0717368
DOC232 1,1:0.069536
DOC233 1,1:0.0788518
DOC234 1,1:0.0789613
DOC235 1,1:0.0757146
DOC236 1,1:0.0850161
DOC237 1,1:0.0630225
DOC238 1,1:0.0772585
DOC239 1,1:0.0858449
DOC240 1,1:0.0704968
DOC241 1,1:0.0818244
DOC242 1,1:0.0658339
DOC243 1,1:0.0949133
DOC244 1,1:0.064599
DOC245 1,1:0.0808086
DOC246 1,1:0.0920794
DOC247 1,1:0.0896431
DOC248 1,1:0.0774646
DOC249 1,1:0.0848426
DOC250 1,1:0.0734358
DOC251 1,1:0.0791217
DOC252 1,1:0.0843386
DOC253 1,1:0.0826277
DOC254 1,1:0.083121
DOC255 1,1:0.0811932
DOC256 1,1:0.0784301
DOC257 1,1:0.0908095
DOC258 1,1:0.0804424
DOC259 1,1:0.0775964
DOC260 1,1:0.0719968
DOC261 1,1:0.0796598
DOC262 1,1:0.0717191
DOC263 1,1:0.0859683
DOC264 1,1:0.0990951
DOC265 1,1:0.0778562
DOC266 1,1:0.0858519
DOC267 1,1:0.0787038
DOC268 1,1:0.0786546
DOC269 1,1:0.0713726
DOC270 1,1:0.0782252
DOC271 1,1:0.0855119
DOC272 1,1:0.0910869
DOC273 1,1:0.0776876
DOC274 1,1:0.076284
DOC275 1,1:0.0793344
DOC276 1,1:0.0840088
DOC277 1,1:0.0775804
DOC278 1,1:0.083606
DOC279 1,1:0.0719081
DOC280 1,1:0.0894033
DOC281 1,1:0.0738627
DOC282 1,1:0.0705953
DOC283 1,1:0.0723554
DOC284 1,1:0.0778161
DOC285 1,1:0.0766941
DOC286 1,1:0.0860816
DOC287 1,1:0.0812344
DOC288 1,1:0.0902006
DOC289 1,1:0.0863965
DOC290 1,1:0.0734089
DOC291 1,1:0.0765637
DOC292 1,1:0.0785713
DOC293 1,1:0.0757898
DOC294 1,1:0.0866434
DOC295 1,1:0.0931051
DOC296 1,1:0.0715523
DOC297 1,1:0.0845646
DOC298 1,1:0.0802348
DOC299 1,1:0.0766089
DOC300 1,1:0.0832465
DOC301 1,1:0.0847223
DOC302 1,1:0.0801253
DOC303 1,1:0.0760513
DOC304 1,1:0.0861685
DOC305 1,1:0.0779127
DOC306 1,1:0.0759195
DOC307 1,1:0.0745975
DOC308 1,1:0.0701874
DOC309 1,1:0.0733022
DOC310 1,1:0.073155
DOC311 1,1:0.0712166
DOC312 1,1:0.0885081
DOC313 1,1:0.0799726
DOC314 1,1:0.0710043
DOC315 1,1:0.0802988
DOC316 1,1:0.0839477
DOC317 1,1:0.0825985
DOC318 1,1:0.0828865
DOC319 1,1:0.0831862
DOC320 1,1:0.0797218
DOC321 1,1:0.0723073
DOC322 1,1:0.0758552
DOC323 1,1:0.0746267
DOC324 1,1:0.0818075
DOC325 1,1:0.0804828
DOC326 1,1:0.0884992
DOC327 1,1:0.0593056
DOC328 1,1:0.0870922
DOC329 1,1:0.0820283
DOC330 1,1:0.0663576
DOC331 1,1:0.0734804
DOC332 1,1:0.0928558
DOC333 1,1:0.0737439
DOC334 1,1:0.0738389
DOC335 1,1:0.0742295
DOC336 1,1:0.0803299
DOC337 1,1:0.0923776
DOC338 1,1:0.0698941
DOC339 1,1:0.0825649
DOC340 1,1:0.0730693
DOC341 1,1:0.0695699
DOC342 1,1:0.0956978
DOC343 1,1:0.0755726
DOC344 1,1:0.0763825
DOC345 1,1:0.0778523
DOC346 1,1:0.080818
DOC347 1,1:0.0735125
DOC348 1,1:0.0813514
DOC349 1,1:0.0759992
DOC350 1,1:0.0899209
DOC351 1,1:0.0748073
DOC352 1,1:0.0816625
DOC353 1,1:0.0791089
DOC354 1,1:0.0846505
DOC355 1,1:0.0921716
DOC356 1,1:0.0826528
DOC357 1,1:0.0777057
DOC358 1,1:0.0789476
DOC359 1,1:0.0889103
DOC360 1,1:0.100119
DOC361 1,1:0.0900714
DOC362 1,1:0.0716579
DOC363 1,1:0.0788538
DOC364 1,1:0.0755066
DOC365 1,1:0.0776699
DOC366 1,1:0.0816457
DOC367 1,1:0.0599993
DOC368 1,1:0.0764928
DOC369 1,1:0.0693373
DOC370 1,1:0.0797351
DOC371 1,1:0.0796864
DOC372 1,1:0.0725136
DOC373 1,1:0.0814067
DOC374 1,1:0.0825486
DOC375 1,1:0.0712126
DOC376 1,1:0.0841741
DOC377 1,1:0.0770612
DOC378 1,1:0.0791507
DOC379 1,1:0.0876336
DOC380 1,1:0.0773189
DOC381 1,1:0.0734175
DOC382 1,1:0.0907301
DOC383 1,1:0.0890818
DOC384 1,1:0.0845035
DOC385 1,1:0.0999419
DOC386 1,1:0.082206
DOC387 1,1:0.0743319
DOC388 1,1:0.074655
DOC389 1,1:0.0729689
DOC390 1,1:0.0755765
DOC391 1,1:0.0857716
DOC392 1,1:0.0988022
DOC393 1,1:0.0822954
DOC394 1,1:0.0889265
DOC395 1,1:0.0832802
DOC396 1,1:0.0821329
DOC397 1,1:0.0848813
DOC398 1,1:0.0715536
DOC399 1,1:0.0644937
DOC400 1,1:0.0930336
DOC401 1,1:0.0901559
DOC402 1,1:0.0937116
DOC403 1,1:0.0794055
DOC404 1,1:0.0765516
DOC405 1,1:0.0702557
DOC406 1,1:0.0829812
DOC407 1,1:0.0854387
DOC408 1,1:0.0763614
DOC409 1,1:0.086873
DOC410 1,1:0.0787037
DOC411 1,1:0.0764779
DOC412 1,1:0.0854936
DOC413 1,1:0.0832084
DOC414 1,1:0.0872948
DOC415 1,1:0.087851
DOC416 1,1:0.0873482
DOC417 1,1:0.0739243
DOC418 1,1:0.0851589
DOC419 1,1:0.0773167
DOC420 1,1:0.086042
DOC421 1,1:0.0873311
DOC422 1,1:0.0781703
DOC423 1,1:0.0671407
DOC424 1,1:0.0756742
DOC425 1,1:0.0821348
DOC426 1,1:0.0655227
DOC427 1,1:0.075423
DOC428 1,1:0.0797312
DOC429 1,1:0.0807245
DOC430 1,1:0.0848892
DOC431 1,1:0.0815679
DOC432 1,1:0.0868794
DOC433 1,1:0.0877652
DOC434 1,1:0.0723477
DOC435 1,1:0.0787504
DOC436 1,1:0.0839814
DOC437 1,1:0.0928736
DOC438 1,1:0.0831007
DOC439 1,1:0.0793377
DOC440 1,1:0.086559
DOC441 1,1:0.090079
DOC442 1,1:0.0874018
DOC443 1,1:0.0782739
DOC444 1,1:0.0769663
DOC445 1,1:0.0764854
DOC446 1,1:0.0855873
DOC447 1,1:0.0839071
DOC448 1,1:0.0901333
DOC449 1,1:0.0770111
DOC450 1,1:0.0858753
DOC451 1,1:0.0809063
DOC452 1,1:0.0800147
DOC453 1,1:0.0876402
DOC454 1,1:0.0726237
DOC455 1,1:0.075534
DOC456 1,1:0.0978263
DOC457 1,1:0.0771941
DOC458 1,1:0.0822238
DOC459 1,1:0.0834352
DOC460 1,1:0.0739935
DOC461 1,1:0.0751306
DOC462 1,1:0.0673827
DOC463 1,1:0.0840659
DOC464 1,1:0.0807891
DOC465 1,1:0.0919915
DOC466 1,1:0.0824593
DOC467 1,1:0.0763097
DOC468 1,1:0.0809808
DOC469 1,1:0.0756775
DOC470 1,1:0.082173
DOC471 1,1:0.0805078
DOC472 1,1:0.0771252
DOC473 1,1:0.0821169
DOC474 1,1:0.0757769
DOC475 1,1:0.0932864
DOC476 1,1:0.0754655
DOC477 1,1:0.098003
DOC478 1,1:0.0766381
DOC479 1,1:0.0738982
DOC480 1,1:0.090765
DOC481 1,1:0.0847895
DOC482 1,1:0.0721967
DOC483 1,1:0.0826058
DOC484 1,1:0.0726783
DOC485 1,1:0.0744652
DOC486 1,1:0.0816227
DOC487 1,1:0.0899482
DOC488 1,1:0.0735009
DOC489 1,1:0.0756593
DOC490 1,1:0.0872403
DOC491 1,1:0.0861144
DOC492 1,1:0.0828121
DOC493 1,1:0.0911882
DOC494 1,1:0.0795912
DOC495 1,1:0.0733016
DOC496 1,1:0.0889138
DOC497 1,1:0.0937381
DOC498 1,1:0.0839575
DOC499 1,1:0.0697959
DOC500 1,1:0.0794647
DOC501 1,1:0.0836399
DOC502 1,1:0.0733797
DOC503 1,1:0.0835915
DOC504 1,1:0.0858913
DOC505 1,1:0.0822296
DOC506 1,1:0.0836521
DOC507 1,1:0.0835512
DOC508 1,1:0.0911728
DOC509 1,1:0.0799378
DOC510 1,1:0.0783471
DOC511 1,1:0.0823997
DOC512 1,1:0.0879904
DOC513 1,1:0.0886889
DOC514 1,1:0.0784797
DOC515 1,1:0.0798342
DOC516 1,1:0.0809118
DOC517 1,1:0.0805387
DOC518 1,1:0.0877016
DOC519 1,1:0.0698985
DOC520 1,1:0.075038
DOC521 1,1:0.0749843
DOC522 1,1:0.0894092
DOC523 1,1:0.0800111
DOC524 1,1:0.0759717
DOC525 1,1:0.0645294
DOC526 1,1:0.0758639
DOC527 1,1:0.0931479
DOC528 1,1:0.0716907
DOC529 1,1:0.0778026
DOC530 1,1:0.0820606
DOC531 1,1:0.0810088
DOC532 1,1:0.0746395
DOC533 1,1:0.0869004
DOC534 1,1:0.0772492
DOC535 1,1:0.0908411
DOC536 1,1:0.0760157
DOC537 1,1:0.0773971
DOC538 1,1:0.0769768
DOC539 1,1:0.0896909
DOC540 1,1:0.0899545
DOC541 1,1:0.0853929
DOC542 1,1:0.0701191
DOC543 1,1:0.0845625
DOC544 1,1:0.0864536
DOC545 1,1:0.078527
DOC546 1,1:0.072289
DOC547 1,1:0.0735788
DOC548 1,1:0.0912075
DOC549 1,1:0.0875446
DOC550 1,1:0.082243
DOC551 1,1:0.0781226
DOC552 1,1:0.0785333
DOC553 1,1:0.0774419
DOC554 1,1:0.0866932
DOC555 1,1:0.0773615
DOC556 1,1:0.0816664
DOC557 1,1:0.0731804
DOC558 1,1:0.0900042
DOC559 1,1:0.077954
DOC560 1,1:0.0847006
DOC561 1,1:0.09096
DOC562 1,1:0.0742686
DOC563 1,1:0.0795378
DOC564 1,1:0.0829403
DOC565 1,1:0.0892366
DOC566 1,1:0.0796448
DOC567 1,1:0.077547
DOC568 1,1:0.0694904
DOC569 1,1:0.0781486
DOC570 1,1:0.0735008
DOC571 1,1:0.0764494
DOC572 1,1:0.0772028
DOC573 1,1:0.065637
DOC574 1,1:0.075379
DOC575 1,1:0.0851074
DOC576 1,1:0.0819133
DOC577 1,1:0.074277
DOC578 1,1:0.0784757
DOC579 1,1:0.0801484
DOC580 1,1:0.0841115
DOC581 1,1:0.0935204
DOC582 1,1:0.0866506
DOC583 1,1:0.0806109
DOC584 1,1:0.0883963
DOC585 1,1:0.0664641
DOC586 1,1:0.0786739
DOC587 1,1:0.0771854
DOC588 1,1:0.0862937
DOC589 1,1:0.0719741
DOC590 1,1:0.0740852
DOC591 1,1:0.0763143
DOC592 1,1:0.0749666
DOC593 1,1:0.0817022
DOC594 1,1:0.0852384
DOC595 1,1:0.0867128
DOC596 1,1:0.0765915
DOC597 1,1:0.0830939
DOC598 1,1:0.0825079
DOC599 1,1:0.0795838
DOC600 1,1:0.0708298
DOC601 1,1:0.085757
DOC602 1,1:0.0835164
DOC603 1,1:0.0752249
DOC604 1,1:0.0699558
DOC605 1,1:0.0821664
DOC606 1,1:0.079229
DOC607 1,1:0.0817971
DOC608 1,1:0.0793149
DOC609 1,1:0.0868816
DOC610 1,1:0.0777506
DOC611 1,1:0.0791323
DOC612 1,1:0.0680064
DOC613 1,1:0.084804
DOC614 1,1:0.077988
DOC615 1,1:0.0790351
DOC616 1,1:0.0773978
DOC617 1,1:0.0783738
DOC618 1,1:0.0721335
DOC619 1,1:0.0781858
DOC620 1,1:0.0826557
DOC621 1,1:0.0854738
DOC622 1,1:0.0841858
DOC623 1,1:0.0803516
DOC624 1,1:0.0834247
DOC625 1,1:0.0786794
DOC626 1,1:0.0823259
DOC627 1,1:0.0776036
DOC628 1,1:0.0645122
DOC629 1,1:0.0861387
DOC630 1,1:0.0821679
DOC631 1,1:0.074149
DOC632 1,1:0.0807448
DOC633 1,1:0.0761607
DOC634 1,1:0.074578
DOC635 1,1:0.0903174
DOC636 1,1:0.0731721
DOC637 1,1:0.0763938
DOC638 1,1:0.0811068
DOC639 1,1:0.0738945
DOC640 1,1:0.0907048
DOC641 1,1:0.0879727
DOC642 1,1:0.0838856
DOC643 1,1:0.093287
DOC644 1,1:0.104249
DOC645 1,1:0.0658825
DOC646 1,1:0.0799783
DOC647 1,1:0.0857876
DOC648 1,1:0.0640906
DOC649 1,1:0.0841928
DOC650 1,1:0.0709213
DOC651 1,1:0.0825275
DOC652 1,1:0.0991339
DOC653 1,1:0.0804305
DOC654 1,1:0.0763378
DOC655 1,1:0.0896817
DOC656 1,1:0.0865804
DOC657 1,1:0.0803923
DOC658 1,1:0.0797741
DOC659 1,1:0.0798039
DOC660 1,1:0.0771996
DOC661 1,1:0.0776313
DOC662 1,1:0.0900839
DOC663 1,1:0.0636824
DOC664 1,1:0.0805084
DOC665 1,1:0.0855036
DOC666 1,1:0.0787489
DOC667 1,1:0.0871434
DOC668 1,1:0.0849883
DOC669 1,1:0.0756535
DOC670 1,1:0.0804648
DOC671 1,1:0.0845221
DOC672 1,1:0.0893288
DOC673 1,1:0.0647331
DOC674 1,1:0.0843424
DOC675 1,1:0.0664918
DOC676 1,1:0.0674216
DOC677 1,1:0.0692012
DOC678 1,1:0.0838229
DOC679 1,1:0.0817373
DOC680 1,1:0.0686723
DOC681 1,1:0.0878785
DOC682 1,1:0.0826985
DOC683 1,1:0.0871768
DOC684 1,1:0.0693179
DOC685 1,1:0.0789357
DOC686 1,1:0.0819623
DOC687 1,1:0.073486
DOC688 1,1:0.068952
DOC689 1,1:0.099479
DOC690 1,1:0.0855644
DOC691 1,1:0.0935583
DOC692 1,1:0.0843195
DOC693 1,1:0.0778173
DOC694 1,1:0.0906909
DOC695 1,1:0.0942019
DOC696 1,1:0.0817558
DOC697 1,1:0.0759445
DOC698 1,1:0.0851482
DOC699 1,1:0.0761729
DOC700 1,1:0.0777037
DOC701 1,1:0.0711178
DOC702 1,1:0.0850556
DOC703 1,1:0.0689244
DOC704 1,1:0.0803605
DOC705 1,1:0.074931
DOC706 1,1:0.063661
DOC707 1,1:0.0640249
DOC708 1,1:0.079949
DOC709 1,1:0.0743264
DOC710 1,1:0.0936032
DOC711 1,1:0.0839585
DOC712 1,1:0.0809381
DOC713 1,1:0.0667923
DOC714 1,1:0.0773818
DOC715 1,1:0.0877664
DOC716 1,1:0.0772425
DOC717 1,1:0.079475
DOC718 1,1:0.0786333
DOC719 1,1:0.078904
DOC720 1,1:0.0949111
DOC721 1,1:0.0934284
DOC722 1,1:0.0814747
DOC723 1,1:0.0867368
DOC724 1,1:0.071171
DOC725 1,1:0.0751709
DOC726 1,1:0.0770976
DOC727 1,1:0.0940938
DOC728 1,1:0.0816008
DOC729 1,1:0.0707403
DOC730 1,1:0.0731479
DOC731 1,1:0.0750689
DOC732 1,1:0.0768416
DOC733 1,1:0.0802233
DOC734 1,1:0.0803314
DOC735 1,1:0.066223
DOC736 1,1:0.0566011
DOC737 1,1:0.0812637
DOC738 1,1:0.0748928
DOC739 1,1:0.0780781
DOC740 1,1:0.0924106
DOC741 1,1:0.0755702
DOC742 1,1:0.0718037
DOC743 1,1:0.0786156
DOC744 1,1:0.0828035
DOC745 1,1:0.0865527
DOC746 1,1:0.0755344
DOC747 1,1:0.0842037
DOC748 1,1:0.0911122
DOC749 1,1:0.067447
DOC750 1,1:0.0881133
DOC751 1,1:0.0713119
DOC752 1,1:0.0748102
DOC753 1,1:0.0821027
DOC754 1,1:0.0896507
DOC755 1,1:0.0832215
DOC756 1,1:0.0680127
DOC757 1,1:0.0744677
DOC758 1,1:0.0856258
DOC759 1,1:0.073181
DOC760 1,1:0.0732705
DOC761 1,1:0.0882911
DOC762 1,1:0.0812637
DOC763 1,1:0.0844229
DOC764 1,1:0.0850249
DOC765 1,1:0.0783311
DOC766 1,1:0.0783088
DOC767 1,1:0.0702455
DOC768 1,1:0.101305
DOC769 1,1:0.0804661
DOC770 1,1:0.0794588
DOC771 1,1:0.0785494
DOC772 1,1:0.0867649
DOC773 1,1:0.0792412
DOC774 1,1:0.0783865
DOC775 1,1:0.0816618
DOC776 1,1:0.0747761
DOC777 1,1:0.0859088
DOC778 1,1:0.0839492
DOC779 1,1:0.0848393
DOC780 1,1:0.0742884
DOC781 1,1:0.0809397
DOC782 1,1:0.0813281
DOC783 1,1:0.0769822
DOC784 1,1:0.0837494
DOC785 1,1:0.0762023
DOC786 1,1:0.0732911
DOC787 1,1:0.0775437
DOC788 1,1:0.0892628
DOC789 1,1:0.0776191
DOC790 1,1:0.0769084
DOC791 1,1:0.0958296
DOC792 1,1:0.0887802
DOC793 1,1:0.100718
DOC794 1,1:0.0744437
DOC795 1,1:0.0740845
DOC796 1,1:0.079749
DOC797 1,1:0.0724971
DOC798 1,1:0.078954
DOC799 1,1:0.0753604
DOC800 1,1:0.0807182
DOC801 1,1:0.0834136
DOC802 1,1:0.0878633
DOC803 1,1:0.0788747
DOC804 1,1:0.0791279
DOC805 1,1:0.0791883
DOC806 1,1:0.0742893
DOC807 1,1:0.0886605
DOC808 1,1:0.0746301
DOC809 1,1:0.0825311
DOC810 1,1:0.0728357
DOC811 1,1:0.0752401
DOC812 1,1:0.0678995
DOC813 1,1:0.0716187
DOC814 1,1:0.0700736
DOC815 1,1:0.0802702
DOC816 1,1:0.0728279
DOC817 1,1:0.0755222
DOC818 1,1:0.0984849
DOC819 1,1:0.0745999
DOC820 1,1:0.0618924
DOC821 1,1:0.100552
DOC822 1,1:0.0795172
DOC823 1,1:0.081389
DOC824 1,1:0.0843724
DOC825 1,1:0.0906771
DOC826 1,1:0.0864749
DOC827 1,1:0.0922627
DOC828 1,1:0.0811191
DOC829 1,1:0.0795182
DOC830 1,1:0.0838765
DOC831 1,1:0.0704931
DOC832 1,1:0.0833167
DOC833 1,1:0.076953
DOC834 1,1:0.0847484
DOC835 1,1:0.0945917
DOC836 1,1:0.0850988
DOC837 1,1:0.0833575
DOC838 1,1:0.0871273
DOC839 1,1:0.0827633
DOC840 1,1:0.0890226
DOC841 1,1:0.0825272
DOC842 1,1:0.074619
DOC843 1,1:0.0815233
DOC844 1,1:0.0836831
DOC845 1,1:0.0778782
DOC846 1,1:0.0772841
DOC847 1,1:0.0837929
DOC848 1,1:0.0921086
DOC849 1,1:0.0683183
DOC850 1,1:0.0933103
DOC851 1,1:0.0666169
DOC852 1,1:0.0773314
DOC853 1,1:0.0821116
DOC854 1,1:0.0782145
DOC855 1,1:0.0767322
DOC856 1,1:0.0760953
DOC857 1,1:0.0792968
DOC858 1,1:0.0863015
DOC859 1,1:0.0825875
DOC860 1,1:0.0808774
DOC861 1,1:0.0763974
DOC862 1,1:0.0876213
DOC863 1,1:0.0910819
DOC864 1,1:0.0761767
DOC865 1,1:0.0808479
DOC866 1,1:0.0794691
DOC867 1,1:0.0834689
DOC868 1,1:0.0823579
DOC869 1,1:0.0843393
DOC870 1,1:0.0694235
DOC871 1,1:0.0806052
DOC872 1,1:0.0813371
DOC873 1,1:0.0843213
DOC874 1,1:0.0823939
DOC875 1,1:0.0806494
DOC876 1,1:0.073438
DOC877 1,1:0.0896589
DOC878 1,1:0.0835588
DOC879 1,1:0.0804106
DOC880 1,1:0.0804702
DOC881 1,1:0.0795086
DOC882 1,1:0.0761205
DOC883 1,1:0.0755424
DOC884 1,1:0.0847923
DOC885 1,1:0.0821773
DOC886 1,1:0.0682898
DOC887 1,1:0.0738382
DOC888 1,1:0.0715725
DOC889 1,1:0.0759346
DOC890 1,1:0.0770411
DOC891 1,1:0.0797867
DOC892 1,1:0.0858329
DOC893 1,1:0.078834
DOC894 1,1:0.0760763
DOC895 1,1:0.0872349
DOC896 1,1:0.0699143
DOC897 1,1:0.0987953
DOC898 1,1:0.0727398
DOC899 1,1:0.0819969
DOC900 1,1:0.088372
DOC901 1,1:0.0726494
DOC902 1,1:0.0729712
DOC903 1,1:0.0791434
DOC904 1,1:0.0795869
DOC905 1,1:0.0797557
DOC906 1,1:0.0810776
DOC907 1,1:0.0871894
DOC908 1,1:0.0845654
DOC909 1,1:0.0779295
DOC910 1,1:0.0810254
DOC911 1,1:0.0825215
DOC912 1,1:0.0770599
DOC913 1,1:0.0843814
DOC914 1,1:0.0901891
DOC915 1,1:0.0804116
DOC916 1,1:0.0925756
DOC917 1,1:0.0729716
DOC918 1,1:0.0792253
DOC919 1,1:0.0841571
DOC920 1,1:0.0762093
DOC921 1,1:0.0793582
DOC922 1,1:0.0694888
DOC923 1,1:0.0800915
DOC924 1,1:0.0799431
DOC925 1,1:0.0901604
DOC926 1,1:0.0784965
DOC927 1,1:0.0837872
DOC928 1,1:0.0698914
DOC929 1,1:0.0713683
DOC930 1,1:0.0860774
DOC931 1,1:0.0833005
DOC932 1,1:0.0748141
DOC933 1,1:0.0691485
DOC934 1,1:0.0867887
DOC935 1,1:0.0857504
DOC936 1,1:0.0790261
DOC937 1,1:0.0846646
